person,categoria,genero,agno_nacimiento
Inés Puyó,Cultura & Ciencia,femenino,1906
Clara Solovera,Cultura & Ciencia,femenino,1909
Maité Allamand,Cultura & Ciencia,femenino,1911
Yoya Martínez,Cultura & Ciencia,femenino,1912
Julieta Campusano,Cultura & Ciencia,femenino,1918
Raquel Barros,Cultura & Ciencia,femenino,1919
Juana Lecaros Izquierdo,Cultura & Ciencia,femenino,1920
Alicia Morel,Cultura & Ciencia,femenino,1921
Margarita Aguirre,Cultura & Ciencia,femenino,1925
Marina Latorre,Cultura & Ciencia,femenino,1925
Claudia Parada,Cultura & Ciencia,femenino,1927
Silvia Urbina,Cultura & Ciencia,femenino,1928
Silvia Victoria Araya González,Cultura & Ciencia,femenino,1930
María Eugenia Oyarzún,Cultura & Ciencia,femenino,1936
Monna Bell,Cultura & Ciencia,femenino,1938
Catalina Parra Troncoso,Cultura & Ciencia,femenino,1940
Soledad Fariña Vicuña,Cultura & Ciencia,femenino,1943
Mariana Matthews,Cultura & Ciencia,femenino,1946
Patricia Verdugo,Cultura & Ciencia,femenino,1947
Nelly Richard,Cultura & Ciencia,femenino,1948
Sonia Viveros,Cultura & Ciencia,femenino,1949
Catalina Guerra,Cultura & Ciencia,femenino,1950
Consuelo Holzapfel,Cultura & Ciencia,femenino,1954
Ximena Vidal,Cultura & Ciencia,femenino,1955
Graciela Huinao,Cultura & Ciencia,femenino,1956
Cecilia Echenique,Cultura & Ciencia,femenino,1957
Adriana Vacarezza,Cultura & Ciencia,femenino,1959
Isabel Gómez Muñoz,Cultura & Ciencia,femenino,1959
Claudia Barattini,Cultura & Ciencia,femenino,1960
Paulina Nin de Cardona,Cultura & Ciencia,femenino,1960
Marcela Donoso,Cultura & Ciencia,femenino,1961
Solange Lackington,Cultura & Ciencia,femenino,1962
Ingrid Wildi Merino,Cultura & Ciencia,femenino,1963
Alejandra Matus,Cultura & Ciencia,femenino,1966
Cristina Gallardo-Domâs,Cultura & Ciencia,femenino,1967
Lorene Prieto,Cultura & Ciencia,femenino,1967
Tara Holiday,Cultura & Ciencia,femenino,1967
Alejandra Fosalba,Cultura & Ciencia,femenino,1969
Andrea Jeftanovic,Cultura & Ciencia,femenino,1970
Andrea Molina,Cultura & Ciencia,femenino,1970
Bettina Perut,Cultura & Ciencia,femenino,1970
